序号	名称	分类	数据主体	主体类型	数据类型（公共企业个人）	场景类型（服务对象）	场景类型（属性）	数据协同机制	是否跳转平台（微信）	是否平台授权	平台名称	工具	备注
1	苏州慈善（新）	社会保障	苏州慈善总会	社会组织	公共、个人	面向用户	单独	交互	否	是	苏州慈善总会	政策计算器	苏州市慈善总会(英文名:Su Zhou Charity Federation 缩写:SZCF)。由热心慈善事业的自然人、法人及其他组织自愿参加的全市性、联合性、非营利性社会组织
2	苏州人才	社会保障	苏州市人力资源和社会保障局；苏州市文化广电和旅游局；苏州市高层次人才一站式服务中心；苏青驿；苏州苏易居房产有限公司；苏州人才；中共苏州市委人才工作领导小组办公室	政府、企业、社会组织	公共、企业	面向用户	融合	交互	是	是	苏青驿（微信）；苏苏有礼（微信）	腾讯地图	苏show才主要为政策查询，政策匹配功能为交互式协同；苏州文旅总入口平台“君到苏州”；苏青驿跳转到微信小程序（市委人才办指导下，团市委联合市住建局、国资委和各县区，实施了“苏青驿”青年人才驿站项目）；苏苏有礼跳转微信，（有苏州人才发布，属社会团体）
3	找工作	社会保障	苏州市人力资源和社会保障局	政府	企业、个人	面向用户	融合	交互	否	是	就在苏州	政策计算器；地图找房	由政府牵头，对接企业和个人；住房地图跳转到第三方服务（建信住房服务（苏州）有限责任公司
4	智慧人社	社会保障	江苏政务服务；江苏省人力资源和数博会保障厅；苏州市人社局	政府	公共、个人	面向用户	融合	交互	否	是	江苏政务服务		江苏省和苏州市人社局上下级融合
5	住房公积金	社会保障	苏州市公积金中心（直属苏州市政府的非营利性事业单位）	政府	公共、个人	面向用户	单独	交互	否	是	苏州市公积金中心		
6	尊老金服务	社会保障	苏州市民政局	政府	公共、个人	面向用户	单独	交互	否	是	苏州尊老金平台		
7	养老地图	社会保障	（养老院）		公共	面向用户	融合	直接提供	否	否		百度地图	提供各个养老院的信息和位置，但只使用百度地图，且必须要下载APP才能导航
8	社保缴纳	社会保障	江苏税务	政府	公共、个人	面向用户	单独	直接提供	是		江苏税务社保缴纳		
9	爱心助残	社会保障	苏州市残联	政府	公共、个人	面向用户	单独	直接提供	否	是	苏州市残联		
10	福利机构查询	社会保障	（福利院/中心）		公共	面向用户	融合	直接提供	否	否			只有详细地址和电话，和养老地图不同，没有介绍和具体的导航
11	无感停车	交通出行	苏州市城管局（推动）	政府	公共、个人	面向用户	融合	交互	否	否		签约停车场（高德地图）	依托周到付免密支付能力（政府主导，企业运营）导航同样也需要下载高德地图APP
12	轨道交通乘车	交通出行	苏州高新有轨电车有限公司；苏州市轨道交通集团有限公司	企业	企业、个人	面向用户	融合	交互	否	是	苏州高新有轨电车有限公司	轨交线路图	
13	公交乘车	交通出行	苏周到（周到付）；苏州公交集团有限公司联合苏州广电智能科技有限公司	企业	企业、个人	面向用户	单独	交互	是	是	乘客心声；苏适巴士（微信）（苏州公交集团有限公司联合苏州广电智能科技有限公司）		公交乘车码为周到付，乘客反馈为数据交互
14	实时路况	交通出行	苏州市公安局交通管理局	政府	公共	面向用户	单独	直接提供	是	否			直接跳转至浏览器，首页显示“苏州交警交通号”
15	公共自行车	交通出行	永安行（永安行科技股份有限公司）；金通（叮嗒出行）；普信达（江苏普信达电子科技有限公司）；东大金点（苏州东大金点物联科技有限公司）；娄e行（太仓市市政公用新能源有限公司）	企业	企业	面向用户	融合	直接提供	否	是	张家港公共自行车应用；娄e行	百度地图	叮嗒出行（杭州金通互联科技有限公司）；东大金点处有张家港公共自行车应用申请授权，娄e行（太仓市市政公用新能源有限公司）申请授权；打开界面速度慢，且格式不统一，每个界面的功能都不一样
16	交管服务	交通出行	苏州市公安局；（“交管12123”）	政府	公共、个人	面向用户	单独	交互	否	是	苏州市公安局；“交管12123”		“交管12123”是公安部官方互联网交通安全综合服务管理平台；补领号牌、注册查询等都是数据的交互
17	智能车管	交通出行	苏州市公安局；线上预约：苏州市公安局交通警察支队车辆管理所	政府	公共、个人	面向用户	融合	交互；数字化场景	否	否	苏州交警微信公众号	高德地图；百度地图；车管所全景VR漫游	智能导办：仅适用苏州支队车管所；车驾管业务预约的页面禁止访问，需要到苏州交警微信公众号进行预约
18	交通事故处理	交通出行	苏州市公安局交通警察支队	政府	公共、个人	面向用户	单独	交互	是	否	网上事故处理大厅（主体是数据主体）		
19	人行道违停查询	交通出行		政府	公共、个人	面向用户	单独	直接提供	否	是	人行道违停查询		
20	自助挪车	交通出行	苏州市行政审批局	政府	个人	面向用户	单独	交互	否	是	苏州市行政审批局	语音机器人联系挪车	
21	交通出行专区	交通出行	"苏周到（周到付）；T3叫车；苏州市城管局（推动）；苏州市行政审批局；苏州市轨道交通集团有限公司；苏州市公安局交通管理局等等上面提到的；
华胜苏州；中国人民保险；（驾校）；携程"	政府、企业	公共、企业、个人	面向用户	融合	交互、融合、数字化场景	是	是			几乎是“交通出行”栏目的集成，上面提到的多个应用场景都集中在了交通出行专区中，同时加入了其他企业提供的服务，如携程等
22	交通驾修	交通出行	苏州市交通运输局	政府	公共、个人	面向用户	单独	直接提供	否	否			
23	便民出行	交通出行	苏州市公安局交通管理局	政府	公共	面向用户	单独	直接提供	是	否			直接跳转至浏览器，首页显示“苏州交警交通号”，和前面实时路况的功能重复
